Year,Make,Model,Sale Price
2013,ac,ura TL SH-AWD,"$16,500"
2020,aston martin,Vantage,"$80,500"
2008,audi,A4 2.0T Quattro Avant,"$4,700"
2018,audi,A4 Allroad Quattro,"$26,420"
2015,audi,A8 L,"$17,160"
2019,audi,RS5 Coupe,"$37,750"
2013,audi,S4,"$21,750"
2010,audi,S4,"$12,000"
2015,audi,S4 Premium Plus,"$16,000"
2013,audi,S7,"$20,150"
2004,bac,kdraft Racing Roadster,"$47,250"
2007,bentley,Continental GT,"$24,250"
2011,bmw,128i Coupe,"$15,000"
2009,bmw,135i Coupe,"$6,400"
2008,bmw,135i Coupe,"$8,700"
1997,bmw,316i Touring,"$5,300"
1997,bmw,320i Touring,"$13,800"
2006,bmw,325Ci Coupe,"$6,600"
1988,bmw,325i Convertible,"$5,100"
1990,bmw,325iX Sedan,"$10,100"
2004,bmw,325xi Touring,"$17,250"
2006,bmw,330Ci ZHP Convertible,"$5,400"
2006,bmw,330Ci ZHP Convertible,"$12,001"
2011,bmw,335i xDrive Sedan,"$5,800"
2017,bmw,340i xDrive Sedan,"$33,000"
2002,bmw,530i Sedan,"$9,750"
2006,bmw,530xi Sports Wagon,"$2,400"
1988,bmw,535is,"$8,000"
2008,bmw,535xi Sports Wagon,"$9,900"
1999,bmw,540i Sedan,"$4,100"
2001,bmw,540i Sedan,"$6,500"
1987,bmw,635CSi,"$5,950"
2006,bmw,650i Convertible,"$10,400"
2021,bmw,M2 Competition,"$48,500"
1988,bmw,M3,"$50,000"
2022,bmw,M3 Competition,"$62,500"
2009,bmw,M3 Coupe,"$20,000"
1998,bmw,M3 Coupe,"$14,500"
2003,bmw,M3 Coupe,"$17,554"
1997,bmw,M3 Sedan,"$8,500"
1998,bmw,M3 Sedan,"$21,000"
2020,bmw,M340i,"$39,000"
2015,bmw,M4 Convertible,"$32,600"
2014,bmw,M5 Competition Package,"$20,000"
2014,bmw,M5 Competition Package,"$27,250"
2015,bmw,X5 M,"$30,500"
2013,bmw,X5 M,"$17,650"
2012,bmw,X6 M,"$20,800"
2000,bmw,Z3 M Roadster,"$28,500"
2016,bmw,i8 Coupe,"$48,500"
2003,buick,Park Avenue Ultra,"$10,600"
2023,cadillac,Escalade 4WD Sport,"$83,000"
2006,cadillac,STS,"$7,700"
2014,chevrolet corvette,Convertible,"$26,750"
1996,chevrolet corvette,Coupe Collector Edition,"$11,500"
2019,chevrolet corvette,Grand Sport Coupe,"$60,750"
2007,chevrolet corvette,Z06,"$30,750"
1989,chevrolet,Camaro RS Coupe,"$12,000"
1997,chevrolet,K3500 Silverado 4x4,"$15,000"
2001,chevrolet,Suburban 2500 LT 4x4,"$15,000"
2004,chevrolet,Suburban Z71 4x4,"$6,400"
2005,chrysler,Crossfire Limited Roadster,"$3,650"
1999,daihatsu,Hijet Truck 4WD,"$7,600"
2015,dodge,Challenger SRT Hellcat,"$46,000"
1992,dodge,Stealth R/T Turbo,"$12,600"
2013,dodge,Viper GTS Launch Edition,"$130,000"
2004,dodge,Viper SRT-10 Mamba Edition Convertible,"$58,000"
1999,ferrari,550 Maranello,"$136,500"
2017,fiat,124 Spider Abarth,"$16,000"
1992,ford,Bronco XLT 4x4,"$8,450"
2016,ford,F-150 Hennessey VelociRaptor 650 4x4,"$38,250"
2022,ford,F-150 Lariat SuperCrew 4x4,"$55,000"
2017,ford,F-150 Raptor,"$33,750"
2020,ford,F-150 Roush Nitemare 4x4,"$49,650"
2019,ford,F-350 Super Duty Platinum 4x4,"$62,000"
2014,ford,Fiesta ST,"$12,150"
2017,ford,Focus RS,"$23,257"
2019,ford,Fusion NASCAR,"$31,500"
1998,ford,Mustang GT Coupe,"$5,600"
2017,ford,Transit 150 Sportsmobile 4x4,"$60,000"
1983,honda,Acty,"$5,700"
1991,honda,CRX Si,"$14,199"
2019,honda,Civic Type R,"$33,750"
1999,honda,Life,"$3,199"
2004,honda,S2000,"$23,250"
2000,honda,S2000,"$23,750"
2004,honda,S2000,"$14,200"
2007,honda,S2000,"$28,750"
1989,jeep,Cherokee Sport 4x4,"$6,601"
2014,jeep,Grand Cherokee SRT,"$18,392"
2010,jeep,Wrangler Unlimited Sport 4x4,"$5,800"
1997,lada,Niva 1.7i 4x4,"$12,600"
2011,land rover,LR4 HSE,"$12,150"
2017,lexus,GS F,"$43,000"
2003,lexus,IS 300,"$19,000"
2002,lexus,IS 300,"$26,000"
2018,lexus,LC 500,"$56,250"
2006,lexus,LS 430,"$11,100"
2005,lexus,LS 430,"$10,600"
1992,lexus,SC 300,"$7,169"
2008,lotus,Exige S Club Racer,"$54,000"
1988,maz,da B2200,"$3,200"
1999,maz,da MX-5 Miata,"$9,200"
1990,maz,da MX-5 Miata,"$11,100"
2021,maz,da MX-5 Miata RF Club,"$26,000"
1985,maz,da RX-7 S,"$7,600"
2007,maz,da RX-8,"$8,050"
2018,mercedes-amg,E63 S Edition 1 Sedan,"$45,500"
2002,mercedes benz,E430 Sedan,"$8,500"
1986,mercedes-benz,260E,"$3,700"
1987,mercedes-benz,300TD,"$5,050"
1986,mercedes-benz,560SEL,"$6,000"
1989,mercedes-benz,560SL,"$17,777"
1987,mercedes-benz,560SL,"$12,000"
2009,mercedes-benz,C63 AMG Sedan,"$20,000"
2005,mercedes-benz,CL500,"$7,500"
1994,mercedes-benz,E320 Wagon,"$7,200"
1999,mercedes-benz,E55 AMG,"$8,100"
2005,mercedes-benz,E55 AMG Sedan,"$12,600"
2007,mercedes-benz,E63 AMG Sedan,"$10,500"
2011,mercedes-benz,E63 AMG Sedan,"$25,000"
2005,mercedes-benz,SL500,"$10,500"
2008,mini,Cooper S Clubman,"$4,000"
1996,mitsubishi,Delica Space Gear 4WD,"$6,400"
1995,mitsubishi,Delica Space Gear Chamonix 4WD,"$9,111"
2012,nissan gt-r,Premium,"$65,500"
1994,nissan,Atlas 100 Camper,"$5,700"
1997,nissan,Bluebird SSS-Z,"$3,900"
1999,nissan,Largo Autech Highway Star,"$4,111"
1990,nissan,Skyline GT-R,"$26,250"
1998,nissan,Stagea 260RS Autech,"$29,000"
1985,oldsmobile,Toronado Brougham,"$5,700"
2021,polestar,2 Dual Motor Performance,"$27,000"
1988,pontiac,Fiero,"$22,000"
2000,porsche,911 Carrera 4 Cabriolet,"$17,500"
1986,porsche,911 Carrera Cabriolet,"$51,500"
2022,porsche,911 Carrera GTS Cabriolet,"$133,000"
2012,porsche,911 Carrera S Cabriolet,"$54,101"
2015,porsche,911 Carrera S Coupe,"$57,000"
2021,porsche,911 Carrera S Coupe,"$112,000"
1987,porsche,911 Carrera Targa,"$71,000"
2001,porsche,911 Turbo Coupe,"$35,069"
2011,porsche,911 Turbo S Coupe,"$67,000"
2000,porsche,Boxster S,"$13,069"
2001,porsche,Boxster S,"$11,100"
2017,porsche,Cayenne,"$19,500"
2012,porsche,Cayenne S,"$13,199"
2007,porsche,Cayman S,"$23,000"
2015,porsche,Macan Turbo,"$24,500"
2011,porsche,Panamera Turbo,"$17,250"
2017,range rover,Evoque HSE Dynamic Convertible,"$18,300"
2022,range rover,Sport SVR Carbon Edition,"$80,500"
2014,range rover,Sport Supercharged,"$11,852"
2013,subaru,BRZ Limited,"$16,000"
2013,subaru,BRZ Limited,"$17,000"
1999,subaru,Impreza WRX,"$12,900"
2012,subaru,Impreza WRX Sedan,"$17,250"
1999,subaru,Legacy GT Wagon,"$12,400"
1996,subaru,Legacy GT Wagon,"$13,600"
2024,tesla,Cybertruck Cyberbeast,"$105,500"
2024,tesla,Cybertruck Foundation Series,"$87,700"
2012,tesla,Model S Signature Performance,"$18,500"
2020,tesla,Model X Long Range Plus,"$36,750"
1998,toyota,4Runner Limited 4x4,"$8,200"
1992,toyota,4Runner SR5 4x4,"$3,500"
1999,toyota,Caldina GT-T,"$10,200"
1996,toyota,Celica GT Convertible,"$7,100"
1995,toyota,Granvia 3.0D 4WD,"$8,500"
1997,toyota,HiAce Super Custom Limited 4WD,"$7,450"
2011,toyota,Land Cruiser,"$18,750"
2007,toyota,Land Cruiser,"$13,800"
1987,toyota,Land Cruiser FJ75 Pickup,"$27,500"
1994,toyota,MR2,"$15,750"
2004,toyota,Sequoia SR5,"$6,000"
2019,toyota,Tacoma TRD Sport Double Cab 4x4,"$36,500"
2001,toyota,Tundra Limited Access Cab V8 4x4,"$17,500"
2022,toyota,Tundra SR5 CrewMax 4x4,"$40,000"
2023,volkswagen,Arteon SEL R-Line,"$27,753"
1993,volkswagen,EuroVan MV Weekender,"$7,777"
2003,volkswagen,GTI 1.8T,"$5,754"
2013,volkswagen,Golf R,"$13,600"
2016,volkswagen,Golf R,"$15,750"
2016,volkswagen,Golf R,"$21,250"
2003,volkswagen,Passat W8 Wagon,"$6,888"
2010,volvo,C30 T5 R-Design,"$5,700"
2010,volvo,V50 T5 AWD R-Design,"$14,150"
2018,volvo,V60 T6 Polestar,"$25,000"
2004,volvo,V70R,"$11,000"
2012,volvo,XC60 T6 AWD R-Design,"$6,800"
N/A,N/A,N/A,"$63,000"
